Starting Clock Simulation...
Time = 23:55:01
Time = 23:55:02
Time = 23:55:03
Time = 23:55:04
Time = 23:55:05
Time = 23:55:06
Time = 23:55:07
Time = 23:55:08
Time = 23:55:09
Time = 23:55:10
Time = 23:55:11
Time = 23:55:12
Time = 23:55:13
Time = 23:55:14
Time = 23:55:15
Time = 23:55:16
Time = 23:55:17
Time = 23:55:18
Time = 23:55:19
Time = 23:55:20
Time = 23:55:21
Time = 23:55:22
Time = 23:55:23
Time = 23:55:24
Time = 23:55:25
Time = 23:55:26
Time = 23:55:27
Time = 23:55:28
Time = 23:55:29
Time = 23:55:30
Time = 23:55:31
Time = 23:55:32
Time = 23:55:33
Time = 23:55:34
Time = 23:55:35
Time = 23:55:36
Time = 23:55:37
Time = 23:55:38
Time = 23:55:39
Time = 23:55:40
Time = 23:55:41
Time = 23:55:42
Time = 23:55:43
Time = 23:55:44
Time = 23:55:45
Time = 23:55:46
Time = 23:55:47
Time = 23:55:48
Time = 23:55:49
Time = 23:55:50
Time = 23:55:51
Time = 23:55:52
Time = 23:55:53
Time = 23:55:54
Time = 23:55:55
Time = 23:55:56
Time = 23:55:57
Time = 23:55:58
Time = 23:55:59
Time = 23:56:00
Time = 23:56:01
Time = 23:56:02
Time = 23:56:03
Time = 23:56:04
Time = 23:56:05
Time = 23:56:06
Time = 23:56:07
Time = 23:56:08
Time = 23:56:09
Time = 23:56:10
Time = 23:56:11
Time = 23:56:12
Time = 23:56:13
Time = 23:56:14
Time = 23:56:15
Time = 23:56:16
Time = 23:56:17
Time = 23:56:18
Time = 23:56:19
Time = 23:56:20
Time = 23:56:21
Time = 23:56:22
Time = 23:56:23
Time = 23:56:24
Time = 23:56:25
Time = 23:56:26
Time = 23:56:27
Time = 23:56:28
Time = 23:56:29
Time = 23:56:30
Time = 23:56:31
Time = 23:56:32
Time = 23:56:33
Time = 23:56:34
Time = 23:56:35
Time = 23:56:36
Time = 23:56:37
Time = 23:56:38
Time = 23:56:39
Time = 23:56:40
Time = 23:56:41
Time = 23:56:42
Time = 23:56:43
Time = 23:56:44
Time = 23:56:45
Time = 23:56:46
Time = 23:56:47
Time = 23:56:48
Time = 23:56:49
Time = 23:56:50
Time = 23:56:51
Time = 23:56:52
Time = 23:56:53
Time = 23:56:54
Time = 23:56:55
Time = 23:56:56
Time = 23:56:57
Time = 23:56:58
Time = 23:56:59
Time = 23:57:00
Time = 23:57:01
Time = 23:57:02
Time = 23:57:03
Time = 23:57:04
Time = 23:57:05
Time = 23:57:06
Time = 23:57:07
Time = 23:57:08
Time = 23:57:09
Time = 23:57:10
Time = 23:57:11
Time = 23:57:12
Time = 23:57:13
Time = 23:57:14
Time = 23:57:15
Time = 23:57:16
Time = 23:57:17
Time = 23:57:18
Time = 23:57:19
Time = 23:57:20
Time = 23:57:21
Time = 23:57:22
Time = 23:57:23
Time = 23:57:24
Time = 23:57:25
Time = 23:57:26
Time = 23:57:27
Time = 23:57:28
Time = 23:57:29
Time = 23:57:30
Time = 23:57:31
Time = 23:57:32
Time = 23:57:33
Time = 23:57:34
Time = 23:57:35
Time = 23:57:36
Time = 23:57:37
Time = 23:57:38
Time = 23:57:39
Time = 23:57:40
Time = 23:57:41
Time = 23:57:42
Time = 23:57:43
Time = 23:57:44
Time = 23:57:45
Time = 23:57:46
Time = 23:57:47
Time = 23:57:48
Time = 23:57:49
Time = 23:57:50
Time = 23:57:51
Time = 23:57:52
Time = 23:57:53
Time = 23:57:54
Time = 23:57:55
Time = 23:57:56
Time = 23:57:57
Time = 23:57:58
Time = 23:57:59
Time = 23:58:00
Time = 23:58:01
Time = 23:58:02
Time = 23:58:03
Time = 23:58:04
Time = 23:58:05
Time = 23:58:06
Time = 23:58:07
Time = 23:58:08
Time = 23:58:09
Time = 23:58:10
Time = 23:58:11
Time = 23:58:12
Time = 23:58:13
Time = 23:58:14
Time = 23:58:15
Time = 23:58:16
Time = 23:58:17
Time = 23:58:18
Time = 23:58:19
Time = 23:58:20
Time = 23:58:21
Time = 23:58:22
Time = 23:58:23
Time = 23:58:24
Time = 23:58:25
Time = 23:58:26
Time = 23:58:27
Time = 23:58:28
Time = 23:58:29
Time = 23:58:30
Time = 23:58:31
Time = 23:58:32
Time = 23:58:33
Time = 23:58:34
Time = 23:58:35
Time = 23:58:36
Time = 23:58:37
Time = 23:58:38
Time = 23:58:39
Time = 23:58:40
Time = 23:58:41
Time = 23:58:42
Time = 23:58:43
Time = 23:58:44
Time = 23:58:45
Time = 23:58:46
Time = 23:58:47
Time = 23:58:48
Time = 23:58:49
Time = 23:58:50
Time = 23:58:51
Time = 23:58:52
Time = 23:58:53
Time = 23:58:54
Time = 23:58:55
Time = 23:58:56
Time = 23:58:57
Time = 23:58:58
Time = 23:58:59
Time = 23:59:00
Time = 23:59:01
Time = 23:59:02
Time = 23:59:03
Time = 23:59:04
Time = 23:59:05
Time = 23:59:06
Time = 23:59:07
Time = 23:59:08
Time = 23:59:09
Time = 23:59:10
Time = 23:59:11
Time = 23:59:12
Time = 23:59:13
Time = 23:59:14
Time = 23:59:15
Time = 23:59:16
Time = 23:59:17
Time = 23:59:18
Time = 23:59:19
Time = 23:59:20
Time = 23:59:21
Time = 23:59:22
Time = 23:59:23
Time = 23:59:24
Time = 23:59:25
Time = 23:59:26
Time = 23:59:27
Time = 23:59:28
Time = 23:59:29
Time = 23:59:30
Time = 23:59:31
Time = 23:59:32
Time = 23:59:33
Time = 23:59:34
Time = 23:59:35
Time = 23:59:36
Time = 23:59:37
Time = 23:59:38
Time = 23:59:39
Time = 23:59:40
Time = 23:59:41
Time = 23:59:42
Time = 23:59:43
Time = 23:59:44
Time = 23:59:45
Time = 23:59:46
Time = 23:59:47
Time = 23:59:48
Time = 23:59:49
Time = 23:59:50
Time = 23:59:51
Time = 23:59:52
Time = 23:59:53
Time = 23:59:54
Time = 23:59:55
Time = 23:59:56
Time = 23:59:57
Time = 23:59:58
Time = 23:59:59
Time = 00:00:00
Time = 00:00:01
Time = 00:00:02
Time = 00:00:03
Time = 00:00:04
Time = 00:00:05
Time = 00:00:06
Time = 00:00:07
Time = 00:00:08
Time = 00:00:09
Time = 00:00:10
Time = 00:00:11
Time = 00:00:12
Time = 00:00:13
Time = 00:00:14
Time = 00:00:15
Time = 00:00:16
Time = 00:00:17
Time = 00:00:18
Time = 00:00:19
Time = 00:00:20
Time = 00:00:21
Time = 00:00:22
Time = 00:00:23
Time = 00:00:24
Time = 00:00:25
Time = 00:00:26
Time = 00:00:27
Time = 00:00:28
Time = 00:00:29
Time = 00:00:30
Time = 00:00:31
Time = 00:00:32
Time = 00:00:33
Time = 00:00:34
Time = 00:00:35
Time = 00:00:36
Time = 00:00:37
Time = 00:00:38
Time = 00:00:39
Time = 00:00:40
Time = 00:00:41
Time = 00:00:42
Time = 00:00:43
Time = 00:00:44
Time = 00:00:45
Time = 00:00:46
Time = 00:00:47
Time = 00:00:48
Time = 00:00:49
Time = 00:00:50
Time = 00:00:51
Time = 00:00:52
Time = 00:00:53
Time = 00:00:54
Time = 00:00:55
Time = 00:00:56
Time = 00:00:57
Time = 00:00:58
Time = 00:00:59
Time = 00:01:00
Time = 00:01:01
Time = 00:01:02
Time = 00:01:03
Time = 00:01:04
Time = 00:01:05
Time = 00:01:06
Time = 00:01:07
Time = 00:01:08
Time = 00:01:09
Time = 00:01:10
Time = 00:01:11
Time = 00:01:12
Time = 00:01:13
Time = 00:01:14
Time = 00:01:15
Time = 00:01:16
Time = 00:01:17
Time = 00:01:18
Time = 00:01:19
Time = 00:01:20
Time = 00:01:21
Time = 00:01:22
Time = 00:01:23
Time = 00:01:24
Time = 00:01:25
Time = 00:01:26
Time = 00:01:27
Time = 00:01:28
Time = 00:01:29
Time = 00:01:30
Time = 00:01:31
Time = 00:01:32
Time = 00:01:33
Time = 00:01:34
Time = 00:01:35
Time = 00:01:36
Time = 00:01:37
Time = 00:01:38
Time = 00:01:39
Time = 00:01:40
Time = 00:01:41
Time = 00:01:42
Time = 00:01:43
Time = 00:01:44
Time = 00:01:45
Time = 00:01:46
Time = 00:01:47
Time = 00:01:48
Time = 00:01:49
Time = 00:01:50
Time = 00:01:51
Time = 00:01:52
Time = 00:01:53
Time = 00:01:54
Time = 00:01:55
Time = 00:01:56
Time = 00:01:57
Time = 00:01:58
Time = 00:01:59
Time = 00:02:00
Time = 00:02:01
Time = 00:02:02
Time = 00:02:03
Time = 00:02:04
Time = 00:02:05
Time = 00:02:06
Time = 00:02:07
Time = 00:02:08
Time = 00:02:09
Time = 00:02:10
Time = 00:02:11
Time = 00:02:12
Time = 00:02:13
Time = 00:02:14
Time = 00:02:15
Time = 00:02:16
Time = 00:02:17
Time = 00:02:18
Time = 00:02:19
Time = 00:02:20
Time = 00:02:21
Time = 00:02:22
Time = 00:02:23
Time = 00:02:24
Time = 00:02:25
Time = 00:02:26
Time = 00:02:27
Time = 00:02:28
Time = 00:02:29
Time = 00:02:30
Time = 00:02:31
Time = 00:02:32
Time = 00:02:33
Time = 00:02:34
Time = 00:02:35
Time = 00:02:36
Time = 00:02:37
Time = 00:02:38
Time = 00:02:39
Time = 00:02:40
Time = 00:02:41
Time = 00:02:42
Time = 00:02:43
Time = 00:02:44
Time = 00:02:45
Time = 00:02:46
Time = 00:02:47
Time = 00:02:48
Time = 00:02:49
Time = 00:02:50
Time = 00:02:51
Time = 00:02:52
Time = 00:02:53
Time = 00:02:54
Time = 00:02:55
Time = 00:02:56
Time = 00:02:57
Time = 00:02:58
Time = 00:02:59
Time = 00:03:00
Time = 00:03:01
Time = 00:03:02
Time = 00:03:03
Time = 00:03:04
Time = 00:03:05
Time = 00:03:06
Time = 00:03:07
Time = 00:03:08
Time = 00:03:09
Time = 00:03:10
Time = 00:03:11
Time = 00:03:12
